org.graphiks.math.SkColor	SkColor	math/src/main/kotlin/SkColor.kt:11	include/core/SkColor.h:38
org.graphiks.math.SkAlpha	SkAlpha	math/src/main/kotlin/SkColor.kt:14	include/core/SkColor.h:27
org.graphiks.math.SkPMColor	SkPMColor	math/src/main/kotlin/SkColor.kt:17	include/core/SkColor.h:206
org.graphiks.math.SK_AlphaTRANSPARENT	SK_AlphaTRANSPARENT	math/src/main/kotlin/SkColor.kt:19	include/core/SkColor.h:90
org.graphiks.math.SK_AlphaOPAQUE	SK_AlphaOPAQUE	math/src/main/kotlin/SkColor.kt:20	include/core/SkColor.h:95
org.graphiks.math.SkColorSetARGB	SkColorSetARGB	math/src/main/kotlin/SkColor.kt:22	include/core/SkColor.h:50
org.graphiks.math.SkColorSetRGB	SkColorSetRGB	math/src/main/kotlin/SkColor.kt:25	include/core/SkColor.h:58
org.graphiks.math.SkColorGetA	SkColorGetA	math/src/main/kotlin/SkColor.kt:27	include/core/SkColor.h:62
org.graphiks.math.SkColorGetR	SkColorGetR	math/src/main/kotlin/SkColor.kt:28	include/core/SkColor.h:66
org.graphiks.math.SkColorGetG	SkColorGetG	math/src/main/kotlin/SkColor.kt:29	include/core/SkColor.h:70
org.graphiks.math.SkColorGetB	SkColorGetB	math/src/main/kotlin/SkColor.kt:30	include/core/SkColor.h:74
org.graphiks.math.SkColorSetA	SkColorSetA	math/src/main/kotlin/SkColor.kt:33	include/core/SkColor.h:83
org.graphiks.math.SK_ColorTRANSPARENT	SK_ColorTRANSPARENT	math/src/main/kotlin/SkColor.kt:35	include/core/SkColor.h:100
org.graphiks.math.SK_ColorBLACK	SK_ColorBLACK	math/src/main/kotlin/SkColor.kt:36	include/core/SkColor.h:104
org.graphiks.math.SK_ColorDKGRAY	SK_ColorDKGRAY	math/src/main/kotlin/SkColor.kt:37	include/core/SkColor.h:109
org.graphiks.math.SK_ColorGRAY	SK_ColorGRAY	math/src/main/kotlin/SkColor.kt:38	include/core/SkColor.h:114
org.graphiks.math.SK_ColorLTGRAY	SK_ColorLTGRAY	math/src/main/kotlin/SkColor.kt:39	include/core/SkColor.h:119
org.graphiks.math.SK_ColorWHITE	SK_ColorWHITE	math/src/main/kotlin/SkColor.kt:40	include/core/SkColor.h:123
org.graphiks.math.SK_ColorRED	SK_ColorRED	math/src/main/kotlin/SkColor.kt:41	include/core/SkColor.h:127
org.graphiks.math.SK_ColorGREEN	SK_ColorGREEN	math/src/main/kotlin/SkColor.kt:42	include/core/SkColor.h:132
org.graphiks.math.SK_ColorBLUE	SK_ColorBLUE	math/src/main/kotlin/SkColor.kt:43	include/core/SkColor.h:136
org.graphiks.math.SK_ColorYELLOW	SK_ColorYELLOW	math/src/main/kotlin/SkColor.kt:44	include/core/SkColor.h:140
org.graphiks.math.SK_ColorCYAN	SK_ColorCYAN	math/src/main/kotlin/SkColor.kt:45	include/core/SkColor.h:144
org.graphiks.math.SK_ColorMAGENTA	SK_ColorMAGENTA	math/src/main/kotlin/SkColor.kt:46	include/core/SkColor.h:148
org.graphiks.math.colorToRGB565	ToolUtils::color_to_565	math/src/main/kotlin/SkColor.kt:52	tools/ToolUtils.cpp:141
org.graphiks.math.SkRGBToHSV	SkRGBToHSV	math/src/main/kotlin/SkColor.kt:68	include/core/SkColor.h:160
org.graphiks.math.SkColorToHSV	SkColorToHSV	math/src/main/kotlin/SkColor.kt:93	include/core/SkColor.h:170
org.graphiks.math.SkHSVToColor	SkHSVToColor	math/src/main/kotlin/SkColor.kt:101	include/core/SkColor.h:185
org.graphiks.math.SkHSVToColor	SkHSVToColor	math/src/main/kotlin/SkColor.kt:135	include/core/SkColor.h:197
org.graphiks.math.SkPreMultiplyARGB	SkPreMultiplyARGB	math/src/main/kotlin/SkColor.kt:148	include/core/SkColor.h:216
org.graphiks.math.SkPreMultiplyColor	SkPreMultiplyColor	math/src/main/kotlin/SkColor.kt:158	include/core/SkColor.h:224
org.graphiks.math.SkColorChannel	SkColorChannel	math/src/main/kotlin/SkColor.kt:163	include/core/SkColor.h:229
org.graphiks.math.SkColorChannel.kR	SkColorChannel::kR	math/src/main/kotlin/SkColor.kt:163	include/core/SkColor.h:230
org.graphiks.math.SkColorChannel.kG	SkColorChannel::kG	math/src/main/kotlin/SkColor.kt:163	include/core/SkColor.h:231
org.graphiks.math.SkColorChannel.kB	SkColorChannel::kB	math/src/main/kotlin/SkColor.kt:163	include/core/SkColor.h:232
org.graphiks.math.SkColorChannel.kA	SkColorChannel::kA	math/src/main/kotlin/SkColor.kt:163	include/core/SkColor.h:233
org.graphiks.math.SkColorChannelFlag	SkColorChannelFlag	math/src/main/kotlin/SkColor.kt:166	include/core/SkColor.h:239
org.graphiks.math.SkColorChannelFlag.kRed_SkColorChannelFlag	kRed_SkColorChannelFlag	math/src/main/kotlin/SkColor.kt:167	include/core/SkColor.h:240
org.graphiks.math.SkColorChannelFlag.kGreen_SkColorChannelFlag	kGreen_SkColorChannelFlag	math/src/main/kotlin/SkColor.kt:168	include/core/SkColor.h:241
org.graphiks.math.SkColorChannelFlag.kBlue_SkColorChannelFlag	kBlue_SkColorChannelFlag	math/src/main/kotlin/SkColor.kt:169	include/core/SkColor.h:242
org.graphiks.math.SkColorChannelFlag.kAlpha_SkColorChannelFlag	kAlpha_SkColorChannelFlag	math/src/main/kotlin/SkColor.kt:170	include/core/SkColor.h:243
org.graphiks.math.SkColorChannelFlag.kGray_SkColorChannelFlag	kGray_SkColorChannelFlag	math/src/main/kotlin/SkColor.kt:171	include/core/SkColor.h:244
org.graphiks.math.SkColorChannelFlag.kGrayAlpha_SkColorChannelFlags	kGrayAlpha_SkColorChannelFlags	math/src/main/kotlin/SkColor.kt:172	include/core/SkColor.h:246
org.graphiks.math.SkColorChannelFlag.kRG_SkColorChannelFlags	kRG_SkColorChannelFlags	math/src/main/kotlin/SkColor.kt:174	include/core/SkColor.h:247
org.graphiks.math.SkColorChannelFlag.kRGB_SkColorChannelFlags	kRGB_SkColorChannelFlags	math/src/main/kotlin/SkColor.kt:175	include/core/SkColor.h:248
org.graphiks.math.SkColorChannelFlag.kRGBA_SkColorChannelFlags	kRGBA_SkColorChannelFlags	math/src/main/kotlin/SkColor.kt:176	include/core/SkColor.h:249
